place1,place2,relation
Eccles,Weaste and Seedley,borders
Pleck,Friar Park,borders
Pleck,St. Matthew's,borders
Pleck,Birchills Leamore,borders
Pleck,Palfrey,borders
Pleck,Bentley and Darlaston North,borders
Pleck,Wednesbury North,borders
Keppel,Hoober,borders
Keppel,East Ecclesfield,borders
Keppel,Rotherham West,borders
Keppel,Wingfield,borders
Keppel,Shiregreen & Brightside,borders
Chapel Allerton,Weetwood,borders
Chapel Allerton,Headingley,borders
Chapel Allerton,Moortown,borders
Chapel Allerton,Hyde Park and Woodhouse,borders
Chapel Allerton,Roundhay,borders
Chapel Allerton,City and Hunslet,borders
Chapel Allerton,Gipton and Harehills,borders
Smethwick,Finstall,borders
Smethwick,Soho and Victoria,borders
Smethwick,St. Pauls,borders
Smethwick,Abbey,borders
Ryton Crookhill and Stella,Blaydon,borders
Ryton Crookhill and Stella,Lemington,borders
Ryton Crookhill and Stella,Crawcrook and Greenside,borders
Ryton Crookhill and Stella,Newburn,borders
Toller,Heaton,borders
Toller,Thornton and Allerton,borders
Toller,Manningham,borders
Toller,City,borders
Toller,Clayton and Fairweather Green,borders
County,Clubmoor,borders
County,Kirkdale,borders
County,Anfield,borders
County,Derby,borders
County,Warbreck,borders
Moss Side,Rusholme,borders
Moss Side,Fallowfield,borders
Moss Side,Ardwick,borders
Moss Side,Clifford,borders
Moss Side,Hulme,borders
Moss Side,Whalley Range,borders
Temple Newsam,Harewood,borders
Temple Newsam,Cross Gates and Whinmoor,borders
Temple Newsam,Killingbeck and Seacroft,borders
Temple Newsam,Burmantofts and Richmond Hill,borders
Temple Newsam,Garforth and Swillington,borders
Brighouse,Town,borders
Brighouse,Dalton,borders
Brighouse,Elland,borders
Brighouse,Cleckheaton,borders
Brighouse,Liversedge and Gomersal,borders
Brighouse,Rastrick,borders
Brighouse,Hipperholme and Lightcliffe,borders
Brighouse,Ashbrow,borders
Town Centre,Sutton Weaver (civil parish),borders
Town Centre,Blackrod,borders
Town Centre,Windle St Helens,borders
Town Centre,West Park,borders
Town Centre,Thatto Heath,borders
Town Centre,Moss Bank,borders
Town Centre,Parr,borders
Dalton,Kirkburton,borders
Dalton,Mirfield,borders
Dalton,Almondbury,borders
Dalton,Greenhead,borders
Dalton,Brighouse,borders
Dalton,Newsome,borders
Dalton,Liversedge and Gomersal,borders
Dalton,Ashbrow,borders
Parklands,Longbenton,borders
Parklands,Dene,borders
Parklands,East Gosforth,borders
Parklands,Weetslade,borders
Parklands,West Gosforth,borders
Parklands,Castle,borders
Parklands,Fawdon,borders
Greets Green and Lyng,Oldbury,borders
Greets Green and Lyng,Wednesbury South,borders
Greets Green and Lyng,St. Pauls,borders
Greets Green and Lyng,Great Bridge,borders
Greets Green and Lyng,West Bromwich Central,borders
St. Peter's,Doxey,borders
St. Peter's,Ettingshall,borders
St. Peter's,Graiseley,borders
St. Peter's,Park,borders
St. Peter's,Bushbury South and Low Hill,borders
St. Peter's,Tettenhall Regis,borders
St. Peter's,East Park,borders
St. Peter's,Heath Town,borders
St. Peter's,Blakenhall,borders
Short Heath,Willenhall North,borders
Short Heath,Wednesfield South,borders
Short Heath,Willenhall South,borders
Short Heath,Birchills Leamore,borders
Short Heath,Wednesfield North,borders
Short Heath,Bloxwich West,borders
Short Heath,Bentley and Darlaston North,borders
Millfield,Southwick,borders
Millfield,Hendon,borders
Millfield,St. Michael's,borders
Millfield,St. Peter's,borders
Millfield,Pallion,borders
Millfield,Barnes,borders
Kirkdale,Seacombe,borders
Kirkdale,County,borders
Kirkdale,Central,borders
Kirkdale,Anfield,borders
Kirkdale,Linacre,borders
Kirkdale,Everton,borders
Kirkdale,Derby,borders
Kirkdale,Liscard,borders
Kirkdale,New Brighton,borders
Castleton,Milkstone and Deeplish,borders
Castleton,North Middleton,borders
Castleton,Hopwood Hall,borders
Castleton,Bamford,borders
Castleton,Balderstone and Kirkholt,borders
Castleton,Royton North,borders
Castleton,Chadderton North,borders
Castleton,North Heywood,borders
Sedgley,Holyrood,borders
Sedgley,Higher Blackley,borders
Sedgley,Kersal,borders
Sedgley,St. Mary's,borders
Sedgley,Crumpsall,borders
Ordsall,City Centre,borders
Ordsall,Irwell Riverside,borders
Ordsall,Langworthy,borders
Ordsall,Cheetham,borders
Ordsall,Clifford,borders
Ordsall,Weaste and Seedley,borders
Ordsall,Gorse Hill,borders
Ordsall,Hulme,borders
Wath,Sprotbrough and Cusworth,borders
Wath,Mexborough,borders
Wath,Hoober,borders
Wath,Darfield,borders
Wath,Swinton,borders
Wath,Wombwell,borders
Wath,Silverwood,borders
Wath,Dearne South,borders
Wath,Rawmarsh,borders
Thorne & Moorends,Hatfield,borders
Thorne & Moorends,Stainforth & Barnby Dun,borders
Thorne & Moorends,Norton & Askern,borders
Crawcrook and Greenside,Blaydon,borders
Crawcrook and Greenside,Ryton Crookhill and Stella,borders
Crawcrook and Greenside,Winlaton and High Spen,borders
Crawcrook and Greenside,Chopwell and Rowlands Gill,borders
Radcliffe West,Little Lever and Darcy Lever,borders
Radcliffe West,Radcliffe East,borders
Radcliffe West,Pilkington Park,borders
Radcliffe West,Kearsley,borders
Radcliffe West,Radcliffe North,borders
Sparkbrook,Moseley and Kings Heath,borders
Sparkbrook,South Yardley,borders
Sparkbrook,Nechells,borders
Sparkbrook,Springfield,borders
Sparkbrook,Edgbaston,borders
Thornton and Allerton,Bingley Rural,borders
Thornton and Allerton,Heaton,borders
Thornton and Allerton,Toller,borders
Thornton and Allerton,Illingworth and Mixenden,borders
Thornton and Allerton,Queensbury,borders
Thornton and Allerton,Clayton and Fairweather Green,borders
Longdendale,Hyde Werneth,borders
Longdendale,Stalybridge South,borders
Longdendale,Hyde Newton,borders
Longdendale,Hyde Godley,borders
Holme Valley North,Kirkburton,borders
Holme Valley North,Holme Valley,borders
Holme Valley North,Colne Valley,borders
Holme Valley North,Newsome,borders
Holme Valley North,Crosland Moor and Netherton,borders
Higher Blackley,Holyrood,borders
Higher Blackley,Charlestown,borders
Higher Blackley,Sedgley,borders
Higher Blackley,South Middleton,borders
Higher Blackley,Crumpsall,borders
Smallbridge and Firgrove,Healey,borders
Smallbridge and Firgrove,Littleborough Lakeside,borders
Smallbridge and Firgrove,Central Rochdale,borders
Smallbridge and Firgrove,Kingsway,borders
Smallbridge and Firgrove,Milnrow and Newhey,borders
Smallbridge and Firgrove,Wardle and West Littleborough,borders
St. Anne's,Castle Eden,borders
St. Anne's,Sandhill,borders
St. Anne's,Pallion,borders
St. Anne's,Barnes,borders
St. Anne's,Shiney Row,borders
St. Anne's,Washington East,borders
Lowton East,Leigh South,borders
Lowton East,Leigh West,borders
Lowton East,Newton,borders
Lowton East,Golborne and Lowton West,borders
Bushbury South and Low Hill,Doxey,borders
Bushbury South and Low Hill,St. Peter's,borders
Bushbury South and Low Hill,Bushbury North,borders
Bushbury South and Low Hill,Fallings Park,borders
Bushbury South and Low Hill,Heath Town,borders
Valley,Wickersley,borders
Valley,Rotherham East,borders
Valley,Hellaby,borders
Valley,Sitwell,borders
Valley,Silverwood,borders
Valley,Boston Castle,borders
Hellaby,Wickersley,borders
Hellaby,Maltby South Yorkshire,borders
Hellaby,Dinnington St. John's,borders
Hellaby,Valley,borders
Hellaby,Sitwell,borders
Hellaby,Tickhill & Wadsworth,borders
Hellaby,Rother Vale,borders
Hellaby,Silverwood,borders
Streetly,Sutton Four Oaks,borders
Streetly,Sutton Vesey,borders
Streetly,Oscott,borders
Streetly,Aldridge Central and South,borders
Streetly,Pheasey Park Farm,borders
Wakefield North,Wakefield West,borders
Wakefield North,Wakefield East,borders
Wakefield North,Stanley and Outwood East,borders
Wakefield North,Wrenthorpe and Outwood West,borders
Kingshurst and Fordbridge,Bickenhill,borders
Kingshurst and Fordbridge,Smith's Wood,borders
Kingshurst and Fordbridge,Chelmsley Wood,borders
Kingshurst and Fordbridge,Shard End,borders
Denton,Blakelaw and North Fenham,borders
Denton,Woolsington,borders
Denton,Fenham,borders
Denton,Lemington,borders
Denton,Westerhope,borders
Denton,Benwell and Scotswood,borders
Denton,Newburn,borders
Ossett,Ardsley and Robin Hood,borders
Ossett,Wakefield West,borders
Ossett,Dewsbury East,borders
Ossett,Wrenthorpe and Outwood West,borders
Ossett,Wakefield Rural,borders
Ossett,Dewsbury South,borders
Ossett,Batley East,borders
Ossett,Horbury and South Ossett,borders
Central,Picton Cheshire,borders
Central,Seacombe,borders
Central,Kirkdale,borders
Central,Everton,borders
Central,Princes Park,borders
Central,Riverside,borders
Central,Kensington and Fairfield,borders
Central,Birkenhead and Tranmere,borders
Birley,Beighton,borders
Birley,Gleadless Valley,borders
Birley,Woodhouse,borders
Birley,Graves Park,borders
Birley,Richmond,borders
Birley,Park & Arbourthorne,borders
Shaw,Crompton,borders
Shaw,Royton South,borders
Shaw,St. James',borders
Shaw,Saddleworth North,borders
Shaw,Milnrow and Newhey,borders
Moston,Charlestown,borders
Moston,Harpurhey,borders
Moston,Failsworth West,borders
Moston,Chadderton South,borders
Moston,Miles Platting and Newton Heath,borders
Dearne North,Sprotbrough and Cusworth,borders
Dearne North,Darfield,borders
Dearne North,North East,borders
Dearne North,Dearne South,borders
Harton,Cleadon Park,borders
Harton,West Park,borders
Harton,Westoe,borders
Harton,Horsley Hill,borders
Harton,Whitburn and Marsden,borders
Holderness,Wales South Yorkshire,borders
Holderness,Rother Vale,borders
Victoria,Ford,borders
Victoria,Blundellsands,borders
Victoria,Manor,borders
Victoria,Church,borders
Craven,Keighley,borders
Craven,Ilkley,borders
Craven,Keighley West,borders
Craven,Keighley East,borders
Westerhope,Woolsington,borders
Westerhope,Denton,borders
Westerhope,Newburn,borders
Hale Barns,Hale Central,borders
Hale Barns,Altrincham,borders
Hale Barns,Woodhouse Park,borders
Hale Barns,Baguley,borders
Hale Barns,Village,borders
Windhill and Wrose,Baildon,borders
Windhill and Wrose,Heaton,borders
Windhill and Wrose,Bolton and Undercliffe,borders
Windhill and Wrose,Eccleshill,borders
Windhill and Wrose,Idle and Thackley,borders
Windhill and Wrose,Shipley,borders
St. Michael's,Rock Ferry,borders
St. Michael's,Mossley Hill,borders
St. Michael's,Princes Park,borders
St. Michael's,Bromborough,borders
St. Michael's,Greenbank,borders
St. Michael's,Riverside,borders
Tividale,Oldbury,borders
Tividale,Langley,borders
Tividale,Rowley,borders
Tividale,St. Thomas's,borders
Valley,Camperdown,borders
Valley,St. Mary's,borders
Valley,Killingworth,borders
Valley,Collingwood,borders
Valley,Battle Hill,borders
Valley,Monkseaton South,borders
South Yardley,Sparkbrook,borders
South Yardley,Acocks Green,borders
South Yardley,Olton,borders
South Yardley,Stechford and Yardley North,borders
South Yardley,Nechells,borders
South Yardley,Lyndon,borders
South Yardley,Springfield,borders
South Yardley,Bordesley Green,borders
South Yardley,Sheldon,borders
Ravenmeols,Manor,borders
Ravenmeols,Harington,borders
Leigh South,Lowton East,borders
Leigh South,Leigh East,borders
Leigh South,Leigh West,borders
Leigh South,Astley Mosley Common,borders
Ashton upon Mersey,St. Mary's,borders
Ashton upon Mersey,Priory,borders
Ashton upon Mersey,Urmston,borders
Ashton upon Mersey,Brooklands,borders
Ashton upon Mersey,Bucklow-St. Martins,borders
Ashton upon Mersey,Stretford,borders
South Jesmond,Westgate,borders
South Jesmond,North Heaton,borders
South Jesmond,Wingrove,borders
South Jesmond,Ouseburn,borders
South Jesmond,North Jesmond,borders
Alexandra,Medlock Vale,borders
Alexandra,Ashton Waterloo,borders
Alexandra,St. Mary's,borders
Alexandra,Saddleworth West and Lees,borders
Alexandra,Ashton Hurst,borders
Alexandra,Coldhurst,borders
Alexandra,Werneth,borders
Wingfield,Hoober,borders
Wingfield,Rotherham West,borders
Wingfield,Keppel,borders
Wingfield,Rawmarsh,borders
Central Rochdale,Milkstone and Deeplish,borders
Central Rochdale,Healey,borders
Central Rochdale,Smallbridge and Firgrove,borders
Central Rochdale,Kingsway,borders
Central Rochdale,Spotland and Falinge,borders
Rowley,Langley,borders
Rowley,Tividale,borders
Rowley,Cradley Heath and Old Hill,borders
Rowley,Blackheath,borders
Rowley,St. Thomas's,borders
Rowley,Netherton Woodside and St. Andrews,borders
Rowley,Quarry Bank and Dudley Wood,borders
Leigh East,Leigh South,borders
Leigh East,Leigh West,borders
Leigh East,Atherleigh,borders
Leigh East,Astley Mosley Common,borders
Leigh East,Tyldesley,borders
Cradley Heath and Old Hill,Rowley,borders
Cradley Heath and Old Hill,Belle Vale,borders
Cradley Heath and Old Hill,Blackheath,borders
Cradley Heath and Old Hill,Cradley and Wollescote,borders
Cradley Heath and Old Hill,Quarry Bank and Dudley Wood,borders
Wakefield West,Wakefield South,borders
Wakefield West,Wakefield North,borders
Wakefield West,Ossett,borders
Wakefield West,Wakefield East,borders
Wakefield West,Wrenthorpe and Outwood West,borders
Wakefield West,Wakefield Rural,borders
Wakefield West,Horbury and South Ossett,borders
Northumberland,Wallsend,borders
Northumberland,North Heaton,borders
Northumberland,Benton,borders
Northumberland,Dene,borders
Northumberland,Walkergate,borders
Northumberland,Killingworth,borders
Northumberland,Battle Hill,borders
Washington South,Lamesley,borders
Washington South,Washington West,borders
Washington South,Washington Central,borders
Washington South,Birtley,borders
Washington South,Washington East,borders
Didsbury West,Withington,borders
Didsbury West,Chorlton Park,borders
Didsbury West,Northenden,borders
Didsbury West,Didsbury East,borders
Didsbury West,Old Moat,borders
Harpurhey,Charlestown,borders
Harpurhey,Moston,borders
Harpurhey,Cheetham,borders
Harpurhey,Crumpsall,borders
Harpurhey,Miles Platting and Newton Heath,borders
Kingswinford North and Wall Heath,Kingswinford South,borders
Kingswinford North and Wall Heath,Brockmoor and Pensnett,borders
Kingswinford North and Wall Heath,Gornal,borders
Roundhay,Alwoodley,borders
Roundhay,Harewood,borders
Roundhay,Cross Gates and Whinmoor,borders
Roundhay,Moortown,borders
Roundhay,Chapel Allerton,borders
Roundhay,Killingbeck and Seacroft,borders
Roundhay,Gipton and Harehills,borders
Meols,Cambridge,borders
Meols,Norwood,borders
Hendon,Southwick,borders
Hendon,Millfield,borders
Hendon,St. Michael's,borders
Hendon,St. Peter's,borders
Hendon,Ryhope,borders
Swanside,Knotty Ash,borders
Swanside,Roby,borders
Swanside,Childwall,borders
Swanside,Page Moss,borders
Darnall,Orgreave South Yorkshire,borders
Darnall,City,borders
Darnall,Rotherham West,borders
Darnall,Manor Castle,borders
Darnall,Woodhouse,borders
Darnall,Boston Castle,borders
Darnall,Brinsworth and Catcliffe,borders
Darnall,Shiregreen & Brightside,borders
Perry Barr,Newton,borders
Perry Barr,Aston,borders
Perry Barr,Oscott,borders
Perry Barr,Great Barr with Yew Tree,borders
Perry Barr,Lozells and East Handsworth,borders
Perry Barr,Nechells,borders
Perry Barr,Handsworth Wood,borders
Perry Barr,Stockland Green,borders
Shard End,Bickenhill,borders
Shard End,Smith's Wood,borders
Shard End,Castle Bromwich,borders
Shard End,Kingshurst and Fordbridge,borders
Shard End,Stechford and Yardley North,borders
Shard End,Hodge Hill,borders
Shard End,Sheldon,borders
Bowdon,Hale Central,borders
Bowdon,Broadheath,borders
Bowdon,Altrincham,borders
Bowdon,Bucklow-St. Martins,borders
Doxford,St. Chad's,borders
Doxford,Silksworth,borders
Doxford,Ryhope,borders
Doxford,Copt Hill,borders
High Fell,Lamesley,borders
High Fell,Chowdene,borders
High Fell,Washington West,borders
High Fell,Windy Nook and Whitehills,borders
High Fell,Low Fell,borders
High Fell,Deckham,borders
Irwell Riverside,Ordsall,borders
Irwell Riverside,Claremont,borders
Irwell Riverside,Langworthy,borders
Irwell Riverside,Broughton,borders
Irwell Riverside,Kersal,borders
Irwell Riverside,Pendlebury,borders
Irwell Riverside,Cheetham,borders
Belle Vale,Halesowen North,borders
Belle Vale,Hayley Green and Cradley South,borders
Belle Vale,Cradley Heath and Old Hill,borders
Belle Vale,Blackheath,borders
Belle Vale,Halesowen South,borders
Belle Vale,Cradley and Wollescote,borders
Davenport and Cale Green,Bramhall North,borders
Davenport and Cale Green,Brinnington and Central,borders
Davenport and Cale Green,Stepping Hill,borders
Davenport and Cale Green,Cheadle Hulme North,borders
Davenport and Cale Green,Manor,borders
Davenport and Cale Green,Edgeley and Cheadle Heath,borders
Irlam,Barton,borders
Irlam,Winton,borders
Irlam,Cadishead,borders
Irlam,Boothstown and Ellenbrook,borders
Irlam,Davyhulme West,borders
Irlam,Davyhulme East,borders
Irlam,Astley Mosley Common,borders
Benton,Northumberland,borders
Benton,Longbenton,borders
Benton,Dene,borders
Benton,Camperdown,borders
Benton,Killingworth,borders
Skircoat,Town,borders
Skircoat,Park,borders
Skircoat,Greetland and Stainland,borders
Skircoat,Sowerby Bridge,borders
Warley,Park,borders
Warley,Ovenden,borders
Warley,Sowerby Bridge,borders
Warley,Luddendenfoot,borders
Warley,Illingworth and Mixenden,borders
Knotty Ash,Yew Tree,borders
Knotty Ash,Swanside,borders
Knotty Ash,West Derby,borders
Knotty Ash,Old Swan,borders
Knotty Ash,Childwall,borders
Knotty Ash,Page Moss,borders
Knotty Ash,Tuebrook and Stoneycroft,borders
Acocks Green,Hall Green,borders
Acocks Green,South Yardley,borders
Acocks Green,Olton,borders
Acocks Green,Springfield,borders
Castleford Central and Glasshoughton,Featherstone,borders
Castleford Central and Glasshoughton,Kippax West Yorkshire,borders
Castleford Central and Glasshoughton,Altofts and Whitwood,borders
Castleford Central and Glasshoughton,Airedale and Ferry Fryston,borders
Castleford Central and Glasshoughton,Pontefract North,borders
Sutton New Hall,Smith's Wood,borders
Sutton New Hall,Castle Bromwich,borders
Sutton New Hall,Sutton Vesey,borders
Sutton New Hall,Erdington,borders
Sutton New Hall,Sutton Trinity,borders
Sutton New Hall,Tyburn,borders
Olton,Hall Green,borders
Olton,St. Alphege,borders
Olton,Silhill,borders
Olton,South Yardley,borders
Olton,Acocks Green,borders
Olton,Shirley East,borders
Olton,Lyndon,borders
Guiseley and Rawdon,Baildon,borders
Guiseley and Rawdon,Horsforth,borders
Guiseley and Rawdon,Otley and Yeadon,borders
Guiseley and Rawdon,Idle and Thackley,borders
Guiseley and Rawdon,Bingley,borders
Guiseley and Rawdon,Wharfedale,borders
Earlsdon,Sherbourne Warwickshire,borders
Earlsdon,Wainbody,borders
Earlsdon,Cheylesmore,borders
Earlsdon,St. Michael's,borders
Earlsdon,Westwood,borders
Earlsdon,Woodlands,borders
Earlsdon,Whoberley,borders
Rockingham,Hoober,borders
Rockingham,East Ecclesfield,borders
Rockingham,Hoyland Milton,borders
Rockingham,Worsbrough,borders
Rockingham,Penistone East,borders
Breightmet,Little Lever and Darcy Lever,borders
Breightmet,Radcliffe North,borders
Breightmet,Bradshaw,borders
Breightmet,Tonge with the Haulgh,borders
Morley South,Morley West Yorkshire,borders
Morley South,Ardsley and Robin Hood,borders
Morley South,Middleton Park,borders
Morley South,Birstall and Birkenshaw,borders
Morley South,Batley East,borders
City and Hunslet,Rothwell,borders
City and Hunslet,Beeston and Holbeck,borders
City and Hunslet,Hyde Park and Woodhouse,borders
City and Hunslet,Chapel Allerton,borders
City and Hunslet,Middleton Park,borders
City and Hunslet,Armley,borders
City and Hunslet,Gipton and Harehills,borders
City and Hunslet,Burmantofts and Richmond Hill,borders
City and Hunslet,Garforth and Swillington,borders
City and Hunslet,Kirkstall,borders
West Derby,Clubmoor,borders
West Derby,Yew Tree,borders
West Derby,Norris Green,borders
West Derby,Croxteth,borders
West Derby,Knotty Ash,borders
West Derby,Tuebrook and Stoneycroft,borders
Claremont,Eccles,borders
Claremont,Irwell Riverside,borders
Claremont,Langworthy,borders
Claremont,Pendlebury,borders
Claremont,Swinton South,borders
Claremont,Weaste and Seedley,borders
Longbenton,Parklands,borders
Longbenton,Benton,borders
Longbenton,Dene,borders
Longbenton,Camperdown,borders
Longbenton,Weetslade,borders
Foleshill,St. Michael's,borders
Foleshill,Holbrook,borders
Foleshill,Radford,borders
Foleshill,Longford,borders
Foleshill,Upper Stoke,borders
Thatto Heath,Sutton Weaver (civil parish),borders
Thatto Heath,Rainhill,borders
Thatto Heath,Eccleston St Helens,borders
Thatto Heath,Bold St Helens,borders
Thatto Heath,West Park,borders
Thatto Heath,Town Centre,borders
Dene,North Heaton,borders
Dene,Parklands,borders
Dene,Northumberland,borders
Dene,Benton,borders
Dene,Longbenton,borders
Dene,East Gosforth,borders
Dene,North Jesmond,borders
Saltwell,Bridges,borders
Saltwell,Low Fell,borders
Saltwell,Lobley Hill and Bensham,borders
Saltwell,Deckham,borders
Fallowfield,Withington,borders
Fallowfield,Rusholme,borders
Fallowfield,Chorlton Park,borders
Fallowfield,Moss Side,borders
Fallowfield,Levenshulme,borders
Fallowfield,Old Moat,borders
Fallowfield,Whalley Range,borders
Old Warley,Finstall,borders
Old Warley,Halesowen North,borders
Old Warley,Langley,borders
Old Warley,Abbey,borders
Old Warley,Quinton,borders
West Heywood,Hopwood Hall,borders
West Heywood,East,borders
West Heywood,Redvales,borders
West Heywood,North Heywood,borders
West Heywood,Unsworth,borders
Cudworth,Darfield,borders
Cudworth,North East,borders
Cudworth,Monk Bretton,borders
St. Michael's,Sherbourne Warwickshire,borders
St. Michael's,Cheylesmore,borders
St. Michael's,Earlsdon,borders
St. Michael's,Foleshill,borders
St. Michael's,Lower Stoke,borders
St. Michael's,Radford,borders
St. Michael's,Upper Stoke,borders
St. Michael's,Whoberley,borders
Kingswinford South,Kingswinford North and Wall Heath,borders
Kingswinford South,Brockmoor and Pensnett,borders
Kingswinford South,Wordsley,borders
Lindley,Greetland and Stainland,borders
Lindley,Greenhead,borders
Lindley,Colne Valley,borders
Lindley,Elland,borders
Lindley,Golcar,borders
Lindley,Ashbrow,borders
Leigh West,Lowton East,borders
Leigh West,Leigh South,borders
Leigh West,Leigh East,borders
Leigh West,Abram,borders
Leigh West,Atherleigh,borders
Leigh West,Hindley Green,borders
Leigh West,Golborne and Lowton West,borders
St. Gabriels,St. Michaels,borders
St. Gabriels,Roby,borders
St. Gabriels,Halewood North,borders
St. Gabriels,Whiston & Cronton,borders
Dewsbury East,Ossett,borders
Dewsbury East,Dewsbury West,borders
Dewsbury East,Dewsbury South,borders
Dewsbury East,Batley East,borders
Oscott,Kingstanding,borders
Oscott,Sutton Vesey,borders
Oscott,Streetly,borders
Oscott,Perry Barr,borders
Oscott,Great Barr with Yew Tree,borders
Oscott,Stockland Green,borders
Oscott,Pheasey Park Farm,borders
Chorlton,Longford,borders
Chorlton,Chorlton Park,borders
Chorlton,Priory,borders
Chorlton,Sale Moor,borders
Chorlton,Clifford,borders
Chorlton,Whalley Range,borders
Shirley West,Blythe,borders
Shirley West,Hall Green,borders
Shirley West,Shirley East,borders
Shirley West,Billesley,borders
Shirley West,Shirley South,borders
Beighton,Wales South Yorkshire,borders
Beighton,Birley,borders
Beighton,Mosborough,borders
Beighton,Rother Vale,borders
Beighton,Woodhouse,borders
St. Matthew's,Paddock,borders
St. Matthew's,Pleck,borders
St. Matthew's,Birchills Leamore,borders
St. Matthew's,Aldridge Central and South,borders
St. Matthew's,Rushall-Shelfield,borders
St. Matthew's,Blakenall,borders
St. Matthew's,Palfrey,borders
St. Matthew's,Pheasey Park Farm,borders
Northenden,Chorlton Park,borders
Northenden,Sale Moor,borders
Northenden,Didsbury West,borders
Northenden,Cheadle and Gatley,borders
Northenden,Didsbury East,borders
Northenden,Sharston,borders
Northenden,Baguley,borders
Northenden,Brooklands,borders
Ashton Hurst,Mossley,borders
Ashton Hurst,Ashton Waterloo,borders
Ashton Hurst,St. Peter's,borders
Ashton Hurst,Saddleworth West and Lees,borders
Ashton Hurst,Alexandra,borders
Ashton Hurst,Stalybridge North,borders
Ashton Hurst,Ashton St. Michael's,borders
Bloxwich East,Pelsall,borders
Bloxwich East,Birchills Leamore,borders
Bloxwich East,Blakenall,borders
Bloxwich East,Bloxwich West,borders
Netherton and Orrell,Ford,borders
Netherton and Orrell,Molyneux,borders
Netherton and Orrell,Litherland,borders
Netherton and Orrell,Derby,borders
Netherton and Orrell,Park,borders
Netherton and Orrell,Warbreck,borders
Netherton and Orrell,St. Oswald,borders
Church,Allerton and Hunts Cross,borders
Church,Woolton,borders
Church,Mossley Hill,borders
Church,Childwall,borders
Church,Cressington,borders
Church,Greenbank,borders
Church,Wavertree,borders
Princes End,Coseley East,borders
Princes End,Bilston East,borders
Princes End,Darlaston South,borders
Princes End,Tipton Green,borders
Princes End,Wednesbury South,borders
Princes End,Great Bridge,borders
Princes End,Wednesbury North,borders
Mosborough,Wales South Yorkshire,borders
Mosborough,Beighton,borders
Pontefract North,Featherstone,borders
Pontefract North,Pontefract South,borders
Pontefract North,Altofts and Whitwood,borders
Pontefract North,Airedale and Ferry Fryston,borders
Pontefract North,Castleford Central and Glasshoughton,borders
Pontefract North,Knottingley,borders
Soho and Victoria,Harborne,borders
Soho and Victoria,Smethwick,borders
Soho and Victoria,Soho,borders
Soho and Victoria,St. Pauls,borders
Soho and Victoria,Abbey,borders
Great Barr with Yew Tree,Paddock,borders
Great Barr with Yew Tree,Newton,borders
Great Barr with Yew Tree,Friar Park,borders
Great Barr with Yew Tree,Perry Barr,borders
Great Barr with Yew Tree,Oscott,borders
Great Barr with Yew Tree,Charlemont with Grove Vale,borders
Great Barr with Yew Tree,Palfrey,borders
Great Barr with Yew Tree,Pheasey Park Farm,borders
Westwood,Meriden West Midlands,borders
Westwood,Wainbody,borders
Westwood,Earlsdon,borders
Westwood,Woodlands,borders
Westwood,Whoberley,borders
Davyhulme West,Barton,borders
Davyhulme West,Cadishead,borders
Davyhulme West,Irlam,borders
Davyhulme West,Urmston,borders
Davyhulme West,Davyhulme East,borders
Davyhulme West,Bucklow-St. Martins,borders
Davyhulme West,Flixton,borders
Wyken,Lower Stoke,borders
Wyken,Henley,borders
Wyken,Binley and Willenhall,borders
Wyken,Upper Stoke,borders
South Middleton,West Middleton,borders
South Middleton,North Middleton,borders
South Middleton,Holyrood,borders
South Middleton,Charlestown,borders
South Middleton,Higher Blackley,borders
South Middleton,East Middleton,borders
Farnworth,Little Lever and Darcy Lever,borders
Farnworth,Kearsley,borders
Farnworth,Walkden North,borders
Farnworth,Harper Green,borders
Farnworth,Little Hulton,borders
Farnworth,Great Lever,borders
Hatfield,Edenthorpe,borders
Hatfield,Finningley,borders
Hatfield,Armthorpe,borders
Hatfield,Thorne & Moorends,borders
Hatfield,Stainforth & Barnby Dun,borders
Lower Stoke,Cheylesmore,borders
Lower Stoke,St. Michael's,borders
Lower Stoke,Wyken,borders
Lower Stoke,Binley and Willenhall,borders
Lower Stoke,Upper Stoke,borders
Whitley Bay,Cullercoats,borders
Whitley Bay,Monkseaton North,borders
Whitley Bay,Monkseaton South,borders
Middleton Park,Morley West Yorkshire,borders
Middleton Park,Ardsley and Robin Hood,borders
Middleton Park,Rothwell,borders
Middleton Park,Beeston and Holbeck,borders
Middleton Park,Morley South,borders
Middleton Park,City and Hunslet,borders
Whiteleas,Cleadon Park,borders
Whiteleas,Cleadon and East Boldon,borders
Whiteleas,West Park,borders
Whiteleas,Biddick and All Saints,borders
Wakefield East,Normanton West Yorkshire,borders
Wakefield East,Wakefield South,borders
Wakefield East,Wakefield North,borders
Wakefield East,Wakefield West,borders
Wakefield East,Stanley and Outwood East,borders
Brockmoor and Pensnett,Brierley Hill,borders
Brockmoor and Pensnett,St. James's,borders
Brockmoor and Pensnett,Kingswinford North and Wall Heath,borders
Brockmoor and Pensnett,Kingswinford South,borders
Brockmoor and Pensnett,Wordsley,borders
Brockmoor and Pensnett,Netherton Woodside and St. Andrews,borders
Brockmoor and Pensnett,Gornal,borders
Birkdale,Ainsdale,borders
Birkdale,Duke's,borders
Birkdale,Kew,borders
Molyneux,Shevington,borders
Molyneux,Netherton and Orrell,borders
Molyneux,Fazakerley,borders
Molyneux,Whitefield,borders
